accuracy,iteration,time,shrinking,random_state,max_iter,kernel,decision_function_shape,class_weight,C
0.4539877300613497,48,121.39763617515564,False,42,10000,linear,ovr,None,40.10513660865751
0.4539877300613497,19,122.58724284172058,False,42,10000,linear,ovr,None,0.127291674619356
0.4539877300613497,53,124.18868899345398,False,42,10000,linear,ovr,None,4.092606597300105
0.4049079754601227,14,125.84485125541687,False,42,10000,linear,ovr,balanced,0.8855233145028538
0.4049079754601227,7,127.15861558914185,True,42,10000,linear,ovr,balanced,2.1379620895022304
0.4539877300613497,24,129.35858631134033,False,42,10000,linear,ovr,None,1.7914306484060245
0.4049079754601227,5,130.16694378852844,False,42,10000,linear,ovr,balanced,0.013727770182085486
0.3987730061349693,13,133.1476411819458,True,42,10000,linear,ovr,balanced,0.1964264645879854
0.4049079754601227,16,133.37371563911438,False,42,10000,linear,ovr,balanced,99.26588068710296
0.4539877300613497,21,136.81709957122803,True,42,10000,linear,ovr,None,0.09136923736814541
0.3987730061349693,15,139.73815083503723,True,42,10000,linear,ovr,balanced,0.17298163592151014
0.44785276073619634,30,144.14577889442444,True,42,10000,linear,ovr,None,0.006975896043328044
0.4049079754601227,12,186.90188598632812,True,42,10000,linear,ovr,balanced,171.08029875993253
0.4539877300613497,41,201.5533697605133,True,42,10000,linear,ovr,None,89.61898068616136
0.4539877300613497,31,209.8707411289215,False,42,10000,linear,ovr,None,179.80426951774348
0.4539877300613497,0,216.56737899780273,True,42,10000,linear,ovr,None,0.5475200153037678
0.4049079754601227,6,217.1452760696411,False,42,10000,linear,ovr,balanced,116.19836038697959
0.4049079754601227,26,230.34821248054504,True,42,10000,linear,ovr,balanced,0.3865449465982836
0.4539877300613497,44,241.947571516037,True,42,10000,linear,ovr,None,1.412537544622754
0.4539877300613497,33,249.6894416809082,False,42,10000,linear,ovr,None,0.20081678041839857
0.4049079754601227,63,119.81651210784912,False,42,10000,linear,ovr,balanced,943.6262202767251
0.4662576687116564,59,128.32542753219604,False,42,10000,linear,ovr,balanced,0.0043371056350044145
0.4539877300613497,57,132.46601390838623,True,42,10000,linear,ovr,None,3.6441815078886086
0.4049079754601227,61,128.49547410011292,True,42,10000,linear,ovr,balanced,0.11945380829338861
0.4539877300613497,62,128.3026716709137,True,42,10000,linear,ovr,None,0.1863802972346199
0.4049079754601227,2,263.407568693161,True,42,10000,linear,ovr,balanced,4.277598314820376
0.4049079754601227,83,110.96738910675049,False,42,10000,linear,ovr,balanced,25.072636247771165
0.4049079754601227,106,111.89466834068298,False,42,10000,linear,ovr,balanced,85.74326166361787
0.4049079754601227,28,112.16050267219543,False,42,10000,linear,ovr,balanced,180.80065521100045
0.4049079754601227,43,112.2103922367096,False,42,10000,linear,ovr,balanced,40.66305463404279
0.4049079754601227,104,112.40093231201172,False,42,10000,linear,ovr,balanced,606.4569815101354
0.4049079754601227,54,112.51967477798462,False,42,10000,linear,ovr,balanced,193.73139245819533
0.4049079754601227,111,113.24630117416382,False,42,10000,linear,ovr,balanced,2.36809979387379
0.4539877300613497,136,113.32260513305664,False,42,10000,linear,ovr,None,0.23184620954131294
0.4049079754601227,37,113.43251323699951,False,42,10000,linear,ovr,balanced,156.60297206860469
0.4049079754601227,36,113.52610492706299,False,42,10000,linear,ovr,balanced,21.30100037411248
0.4049079754601227,110,113.49388837814331,False,42,10000,linear,ovr,balanced,784.1515405281202
0.4049079754601227,127,113.54743909835815,False,42,10000,linear,ovr,balanced,8.12082216249983
0.4539877300613497,52,113.80107092857361,False,42,10000,linear,ovr,None,861.3903457724265
0.4049079754601227,92,114.42333316802979,False,42,10000,linear,ovr,balanced,45.91980128368685
0.4723926380368098,124,114.42020344734192,False,42,10000,linear,ovr,balanced,0.003317416496945389
0.4539877300613497,113,114.53377151489258,False,42,10000,linear,ovr,None,0.018146797793969282
0.4539877300613497,51,114.8230528831482,False,42,10000,linear,ovr,balanced,0.00805378441199066
0.4539877300613497,3,114.9170196056366,False,42,10000,linear,ovr,None,0.043092332281862634
0.4539877300613497,60,114.98149013519287,False,42,10000,linear,ovr,None,0.4716284552998378
0.4049079754601227,66,115.08567190170288,False,42,10000,linear,ovr,balanced,295.665056508294
0.3987730061349693,133,115.06451487541199,False,42,10000,linear,ovr,balanced,0.017123794212449275
0.4601226993865031,68,115.15456628799438,False,42,10000,linear,ovr,None,0.004897788193684461
