accuracy,iteration,time,random_state,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0.3374233128834356,10,1.2819995880126953,42,21,4,5,0.010099,22,False
0.18404907975460122,22,5.1134352684021,42,154,6,5,0.1350865,2,True
0.4171779141104294,24,13.438652038574219,42,23,8,8,0.5000500000000001,7,True
0.15337423312883436,26,3.143531560897827,42,107,5,4,0.24257575,1,False
0.2085889570552147,9,20.637526750564575,42,275,2,1,0.2650735,2,False
0.44785276073619634,17,21.339070796966553,42,118,9,9,0.06009400000000001,14,False
0.4539877300613497,8,34.36303496360779,42,22,8,2,0.62253775,30,True
0.3067484662576687,11,39.63460922241211,42,73,7,1,0.69753025,4,False
0.5276073619631901,15,46.05672478675842,42,37,7,2,0.3050695,23,False
0.4539877300613497,27,40.18056845664978,42,147,9,6,0.12758725,14,True
0.3128834355828221,32,14.996163129806519,42,79,4,4,0.30756925,4,True
0.4785276073619632,25,76.01842093467712,42,52,5,8,0.8750125000000001,33,True
0.4723926380368098,20,87.09331560134888,42,49,7,4,0.8150185000000001,33,True
0.38650306748466257,12,87.86622071266174,42,358,6,4,0.230077,6,True
0.44171779141104295,13,97.13379764556885,42,390,8,1,0.08009200000000001,17,True
0.4539877300613497,35,30.46359658241272,42,34,5,10,0.56754325,32,True
0.2331288343558282,39,2.505640745162964,42,352,10,10,0.010099,4,True
0.44171779141104295,34,52.985087156295776,42,321,2,4,0.06259375,14,True
0.4110429447852761,4,121.14991307258606,42,333,10,2,0.24757525000000002,6,False
0.49079754601226994,16,121.9836413860321,42,165,6,1,0.23257675,None,True
0.44171779141104295,3,127.00719738006592,42,199,5,7,0.32756725000000003,29,True
0.49693251533742333,14,131.26445126533508,42,122,4,2,0.230077,26,False
0.4110429447852761,5,135.1926121711731,42,376,6,3,0.240076,6,False
0.44785276073619634,2,135.95915484428406,42,71,6,4,0.880012,29,True
0.4171779141104294,21,199.44178700447083,42,337,5,6,0.49505050000000006,7,True
0.4171779141104294,28,181.57603001594543,42,141,4,10,0.49255075000000004,29,False
0.3128834355828221,41,97.01525735855103,42,201,10,7,0.8350165,4,True
0.5030674846625767,6,231.0065188407898,42,253,3,1,0.2750725,30,True
0.4233128834355828,48,41.58529996871948,42,47,9,2,0.31006900000000004,33,True
0.44785276073619634,42,122.62569999694824,42,132,7,10,0.57754225,29,True
0.4233128834355828,49,60.55419921875,42,79,6,2,0.41255875000000003,10,True
0.48466257668711654,40,155.6838653087616,42,360,8,4,0.16258375,19,True
0.4723926380368098,46,142.74218010902405,42,92,7,5,0.5000500000000001,14,False
0.3558282208588957,55,19.831474781036377,42,245,3,4,0.07259275000000001,6,True
0.49079754601226994,51,67.3117413520813,42,48,2,4,0.37006300000000003,37,False
0.4601226993865031,7,317.2491657733917,42,227,6,2,0.590041,17,True
0.4233128834355828,37,231.45093727111816,42,156,2,7,0.6425357500000001,10,False
0.4785276073619632,52,78.53421878814697,42,108,7,1,0.18758125,14,False
0.48466257668711654,29,300.4044728279114,42,335,9,6,0.43755625000000004,27,True
0.44171779141104295,58,27.226773500442505,42,32,9,9,0.5000500000000001,20,True
0.38650306748466257,23,332.519296169281,42,356,9,8,0.9850015000000001,6,True
0.4539877300613497,0,336.7740650177002,42,192,7,4,0.55254475,14,False
0.44171779141104295,53,94.67960405349731,42,222,8,10,0.2150785,8,False
0.44785276073619634,60,27.813916444778442,42,41,3,9,0.48005200000000003,9,True
0.5153374233128835,57,61.931334018707275,42,151,4,1,0.14258575,14,True
0.4539877300613497,50,170.47471737861633,42,124,10,3,0.50254975,11,False
0.34355828220858897,69,0.746769905090332,42,17,7,5,0.0150985,12,True
0.4723926380368098,19,398.8826916217804,42,389,2,8,0.57754225,35,True
0.39263803680981596,66,62.16770267486572,42,196,5,9,0.3050695,6,True
0.44785276073619634,63,104.79346013069153,42,69,9,6,0.8000200000000001,26,True
0.1656441717791411,73,5.835474967956543,42,74,3,10,0.6775322500000001,1,False
0.5153374233128835,1,438.5311584472656,42,365,5,1,0.25757425,29,False
0.4601226993865031,61,123.83185052871704,42,108,8,8,0.64753525,29,True
0.4294478527607362,74,20.00137710571289,42,192,7,10,0.04509550000000001,9,False
0.4785276073619632,33,418.9947621822357,42,183,8,3,0.9900010000000001,27,True
0.15337423312883436,78,4.235332012176514,42,67,9,10,0.6700330000000001,1,True
0.294478527607362,76,39.37716341018677,42,89,5,5,0.7350265,4,True
0.4539877300613497,71,110.49197936058044,42,138,3,7,0.41255875000000003,32,True
0.4662576687116564,70,129.15151953697205,42,157,6,1,0.270073,26,True
0.15337423312883436,82,0.41786956787109375,42,269,6,5,0.0001,23,False
0.3067484662576687,79,52.56911540031433,42,332,6,5,0.260074,4,True
0.44785276073619634,47,400.51783299446106,42,257,7,9,0.9600040000000001,36,True
0.4601226993865031,18,537.577205657959,42,353,7,7,0.54254575,14,False
0.4601226993865031,64,214.03044056892395,42,347,5,8,0.330067,21,True
0.44171779141104295,72,157.60490465164185,42,91,10,1,0.93250675,12,True
0.4662576687116564,38,468.4675295352936,42,347,10,6,0.70003,19,True
0.4601226993865031,67,221.83334636688232,42,148,4,1,0.69753025,13,True
0.4110429447852761,88,12.062942028045654,42,18,5,7,0.33756625,37,True
0.49693251533742333,30,540.8501353263855,42,242,2,2,0.8550145000000001,35,True
0.49079754601226994,54,322.06471610069275,42,224,7,1,0.33506650000000004,36,False
0.49079754601226994,77,145.594482421875,42,219,2,5,0.17758225,19,False
0.4110429447852761,87,56.28219223022461,42,349,2,10,0.08509150000000001,35,True
0.48466257668711654,80,133.60752034187317,42,210,8,9,0.2150785,19,False
0.4601226993865031,65,280.38382172584534,42,283,7,9,0.350065,18,False
0.4294478527607362,94,16.831374406814575,42,16,8,10,0.64753525,27,True
0.4785276073619632,84,86.76704382896423,42,376,10,5,0.08509150000000001,32,True
0.4723926380368098,31,586.4717085361481,42,350,5,4,0.47005300000000005,19,False
0.44785276073619634,90,60.36920142173767,42,98,6,4,0.2450755,19,True
0.2822085889570552,86,93.89176774024963,42,159,8,1,0.7550245000000001,4,False
0.3067484662576687,45,557.402863740921,42,166,6,4,0.9975002500000001,31,False
0.4662576687116564,89,129.3454782962799,42,89,9,9,0.8950105,28,True
0.4723926380368098,91,125.24219346046448,42,319,2,3,0.130087,10,False
0.4723926380368098,97,85.24509119987488,42,177,8,6,0.2150785,36,True
