accuracy,iteration,time,shrinking,random_state,max_iter,kernel,decision_function_shape,class_weight,C
0.4539877300613497,23,99.0851731300354,False,42,10000,linear,ovr,None,2.8106062003343975
0.4785276073619632,17,101.22452306747437,False,42,10000,linear,ovr,balanced,0.012189895989248661
0.4233128834355828,16,101.61686444282532,False,42,10000,linear,ovr,balanced,99.26588068710296
0.4539877300613497,3,102.02198815345764,False,42,10000,linear,ovr,None,0.043092332281862634
0.4539877300613497,1,103.45067858695984,False,42,10000,linear,ovr,None,795.0601750844187
0.4785276073619632,5,103.60663414001465,False,42,10000,linear,ovr,balanced,0.013727770182085486
0.4539877300613497,20,101.83661079406738,False,42,10000,linear,ovr,None,0.044177384488964765
0.4233128834355828,6,104.53967428207397,False,42,10000,linear,ovr,balanced,116.19836038697959
0.4233128834355828,14,105.22624611854553,False,42,10000,linear,ovr,balanced,0.8855233145028538
0.4539877300613497,19,105.22987747192383,False,42,10000,linear,ovr,None,0.127291674619356
0.4233128834355828,2,108.93289542198181,True,42,10000,linear,ovr,balanced,4.277598314820376
0.4539877300613497,8,108.94251275062561,True,42,10000,linear,ovr,None,0.19696996148999235
0.5030674846625767,4,108.96051812171936,False,42,10000,linear,ovr,None,0.002447935666196066
0.4233128834355828,13,111.97132587432861,True,42,10000,linear,ovr,balanced,0.1964264645879854
0.4233128834355828,15,110.36978697776794,True,42,10000,linear,ovr,balanced,0.17298163592151014
0.4539877300613497,22,112.43818879127502,True,42,10000,linear,ovr,None,4.081313915969719
0.4233128834355828,12,113.19934129714966,True,42,10000,linear,ovr,balanced,171.08029875993253
0.49693251533742333,11,113.50223755836487,True,42,10000,linear,ovr,None,0.004385306977749856
0.4539877300613497,21,115.81924271583557,True,42,10000,linear,ovr,None,0.09136923736814541
0.4233128834355828,7,115.87108564376831,True,42,10000,linear,ovr,balanced,2.1379620895022304
0.4233128834355828,10,116.14119577407837,True,42,10000,linear,ovr,balanced,0.5039645636126429
0.4539877300613497,0,116.32544708251953,True,42,10000,linear,ovr,None,0.5475200153037678
0.4539877300613497,9,117.22015476226807,True,42,10000,linear,ovr,None,0.10318106352675918
0.4233128834355828,18,118.56402015686035,True,42,10000,linear,ovr,balanced,0.6773295140086063
0.4233128834355828,29,96.0967345237732,False,42,10000,linear,ovr,balanced,39.77406691050278
0.4539877300613497,24,101.77453517913818,False,42,10000,linear,ovr,None,1.7914306484060245
0.4233128834355828,28,102.3342547416687,False,42,10000,linear,ovr,balanced,180.80065521100045
0.4539877300613497,31,101.5118019580841,False,42,10000,linear,ovr,None,179.8042695177435
0.4539877300613497,33,101.97554206848145,False,42,10000,linear,ovr,None,0.20081678041839857
0.49079754601226994,27,107.98628902435303,True,42,10000,linear,ovr,balanced,0.0015177491558612493
0.4233128834355828,26,108.72826957702637,True,42,10000,linear,ovr,balanced,0.3865449465982836
0.4233128834355828,36,103.52562260627747,False,42,10000,linear,ovr,balanced,21.30100037411248
0.4233128834355828,37,100.47921776771545,False,42,10000,linear,ovr,balanced,156.60297206860469
0.48466257668711654,25,111.59986329078674,True,42,10000,linear,ovr,balanced,0.0022594357702209783
0.4785276073619632,38,102.38408756256104,False,42,10000,linear,ovr,balanced,0.012882495516931335
0.4785276073619632,39,102.9858911037445,False,42,10000,linear,ovr,balanced,0.011282361216489924
0.4233128834355828,32,111.54417729377747,True,42,10000,linear,ovr,balanced,156.60297206860469
0.4601226993865031,40,104.55160355567932,False,42,10000,linear,ovr,None,0.01804679146556722
0.48466257668711654,30,114.11910152435303,True,42,10000,linear,ovr,None,0.006975896043328045
0.4233128834355828,45,101.66994166374207,False,42,10000,linear,ovr,balanced,211.64109507708636
0.4233128834355828,43,103.26453566551208,False,42,10000,linear,ovr,balanced,40.66305463404279
0.4539877300613497,35,110.48963379859924,True,42,10000,linear,ovr,None,51.14462515963039
0.4539877300613497,46,104.25089621543884,True,42,10000,linear,ovr,None,5.910170366102436
0.4233128834355828,34,113.96755504608154,True,42,10000,linear,ovr,balanced,591.561634175473
0.4539877300613497,44,109.50949120521545,True,42,10000,linear,ovr,None,1.412537544622754
0.49079754601226994,47,107.28563690185547,True,42,10000,linear,ovr,balanced,0.0028734258866748713
0.4233128834355828,42,111.82733464241028,True,42,10000,linear,ovr,balanced,6.937452139421228
0.4539877300613497,41,115.37910294532776,True,42,10000,linear,ovr,None,89.61898068616138
0.4539877300613497,48,100.7622799873352,False,42,10000,linear,ovr,None,40.10513660865751
0.49079754601226994,51,100.69045376777649,False,42,10000,linear,ovr,balanced,0.00805378441199066
0.4539877300613497,52,100.42444467544556,False,42,10000,linear,ovr,None,861.3903457724265
