accuracy,iteration,time,random_state,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0.3374233128834356,10,2.731660842895508,42,21,4,5,0.010099,22,False
0.18404907975460122,22,9.59195590019226,42,154,6,5,0.1350865,2,True
0.39263803680981596,24,26.7439386844635,42,23,8,8,0.5000500000000001,7,True
0.2147239263803681,9,32.843841791152954,42,275,2,1,0.2650735,2,False
0.1656441717791411,26,5.294719457626343,42,107,5,4,0.24257575,1,False
0.44171779141104295,17,37.5866277217865,42,118,9,9,0.06009400000000001,14,False
0.3067484662576687,11,51.8761351108551,42,73,7,1,0.69753025,4,False
0.39263803680981596,8,58.268454790115356,42,22,8,2,0.62253775,30,True
0.4539877300613497,15,82.50921511650085,42,37,7,2,0.3050695,23,False
0.4539877300613497,27,60.794567823410034,42,147,9,6,0.12758725,14,True
0.4539877300613497,25,91.33202075958252,42,52,5,8,0.8750125000000001,33,True
0.31901840490797545,32,25.565760135650635,42,79,4,4,0.30756925,4,True
0.4049079754601227,12,137.00950360298157,42,358,6,4,0.230077,6,True
0.4294478527607362,20,140.89067316055298,42,49,7,4,0.8150185000000001,33,True
0.4294478527607362,35,48.25965595245361,42,34,5,10,0.56754325,32,True
0.4539877300613497,13,158.57986068725586,42,390,8,1,0.08009200000000001,17,True
0.2085889570552147,39,6.620573282241821,42,352,10,10,0.010099,4,True
0.4601226993865031,34,76.81963610649109,42,321,2,4,0.06259375,14,True
0.4785276073619632,16,181.4156973361969,42,165,6,1,0.23257675,None,True
0.43558282208588955,3,197.22818112373352,42,199,5,7,0.32756725000000003,29,True
0.48466257668711654,2,202.22289729118347,42,71,6,4,0.880012,29,True
0.4723926380368098,14,207.23541283607483,42,122,4,2,0.230077,26,False
0.4171779141104294,4,211.63135814666748,42,333,10,2,0.24757525000000002,6,False
0.4049079754601227,5,236.20951294898987,42,376,6,3,0.240076,6,False
0.4233128834355828,21,276.2023811340332,42,337,5,6,0.49505050000000006,7,True
0.44785276073619634,28,261.71299600601196,42,141,4,10,0.49255075000000004,29,False
0.34355828220858897,41,141.90767216682434,42,201,10,7,0.8350165,4,True
0.4723926380368098,48,65.79107689857483,42,47,9,2,0.31006900000000004,33,True
0.5153374233128835,6,350.8309214115143,42,253,3,1,0.2750725,30,True
0.44171779141104295,42,176.67384910583496,42,132,7,10,0.57754225,29,True
0.4662576687116564,40,220.58814215660095,42,360,8,4,0.16258375,19,True
0.4233128834355828,49,102.96067309379578,42,79,6,2,0.41255875000000003,10,True
0.37423312883435583,55,25.96644687652588,42,245,3,4,0.07259275000000001,6,True
0.4662576687116564,51,88.87977004051208,42,48,2,4,0.37006300000000003,37,False
0.44785276073619634,46,237.21052980422974,42,92,7,5,0.5000500000000001,14,False
0.4723926380368098,52,141.8057792186737,42,108,7,1,0.18758125,14,False
0.4110429447852761,58,46.58584451675415,42,32,9,9,0.5000500000000001,20,True
0.4294478527607362,53,145.84006333351135,42,222,8,10,0.2150785,8,False
0.4662576687116564,29,466.5707025527954,42,335,9,6,0.43755625000000004,27,True
0.4171779141104294,37,374.7922205924988,42,156,2,7,0.6425357500000001,10,False
0.4662576687116564,57,86.71994996070862,42,151,4,1,0.14258575,14,True
0.44171779141104295,7,524.79856133461,42,227,6,2,0.590041,17,True
0.4294478527607362,23,531.7900052070618,42,356,9,8,0.9850015000000001,6,True
0.4233128834355828,60,41.12676191329956,42,41,3,9,0.48005200000000003,9,True
0.44785276073619634,0,547.4114155769348,42,192,7,4,0.55254475,14,False
0.44785276073619634,19,588.4131689071655,42,389,2,8,0.57754225,35,True
0.3067484662576687,69,1.4769718647003174,42,17,7,5,0.0150985,12,True
0.4539877300613497,50,295.8394412994385,42,124,10,3,0.50254975,11,False
0.39263803680981596,66,99.5505998134613,42,196,5,9,0.3050695,6,True
0.48466257668711654,1,643.499881029129,42,365,5,1,0.25757425,29,False
0.15950920245398773,73,9.292908430099487,42,74,3,10,0.6775322500000001,1,False
0.4662576687116564,63,156.74666953086853,42,69,9,6,0.8000200000000001,26,True
0.4294478527607362,74,38.475770473480225,42,192,7,10,0.04509550000000001,9,False
0.49693251533742333,33,604.9740686416626,42,183,8,3,0.9900010000000001,27,True
0.4723926380368098,61,197.88890099525452,42,108,8,8,0.64753525,29,True
0.18404907975460122,78,6.7704527378082275,42,67,9,10,0.6700330000000001,1,True
0.3006134969325153,76,57.823363304138184,42,89,5,5,0.7350265,4,True
0.4601226993865031,70,185.52752423286438,42,157,6,1,0.270073,26,True
0.3312883435582822,79,93.30560374259949,42,332,6,5,0.260074,4,True
0.15337423312883436,82,1.6721811294555664,42,269,6,5,0.0001,23,False
0.44171779141104295,71,189.28696751594543,42,138,3,7,0.41255875000000003,32,True
0.4601226993865031,64,305.0852813720703,42,347,5,8,0.330067,21,True
0.4601226993865031,67,317.0983786582947,42,148,4,1,0.69753025,13,True
0.44171779141104295,18,854.2337510585785,42,353,7,7,0.54254575,14,False
0.4723926380368098,54,477.37377643585205,42,224,7,1,0.33506650000000004,36,False
0.44785276073619634,47,630.0962872505188,42,257,7,9,0.9600040000000001,36,True
0.39263803680981596,88,17.387168407440186,42,18,5,7,0.33756625,37,True
0.4601226993865031,72,253.05913186073303,42,91,10,1,0.93250675,12,True
0.4723926380368098,38,733.7190036773682,42,347,10,6,0.70003,19,True
0.49079754601226994,77,220.15629649162292,42,219,2,5,0.17758225,19,False
0.4601226993865031,80,170.49961805343628,42,210,8,9,0.2150785,19,False
0.4171779141104294,87,76.32943534851074,42,349,2,10,0.08509150000000001,35,True
0.4539877300613497,84,133.19789624214172,42,376,10,5,0.08509150000000001,32,True
0.48466257668711654,65,419.42103910446167,42,283,7,9,0.350065,18,False
0.4171779141104294,94,24.531034231185913,42,16,8,10,0.64753525,27,True
0.44171779141104295,90,91.30166268348694,42,98,6,4,0.2450755,19,True
