,idx
Abdullah Ibrahim,0
Ahmad Jamal,1
Benny Green,2
Bill Evans,3
Bobby Timmons,4
Brad Mehldau,5
Cedar Walton,6
Chick Corea,7
Gene Harris,8
Geoffrey Keezer,9
Geri Allen,10
Hank Jones,11
John Hicks,12
Junior Mance,13
Keith Jarrett,14
Kenny Barron,15
Kenny Drew,16
Lennie Tristano,17
McCoy Tyner,18
Oscar Peterson,19
Red Garland,20
Stanley Cowell,21
Teddy Wilson,22
Thelonious Monk,23
Tommy Flanagan,24
