,track_name,final_track_name,clustered_track_name,pianist,mbz_id
55,Georgia on My Mind,georgia on my mind,georgia on my mind,Cedar Walton,d01386fe-9e44-4a14-9029-ad09e3ecdc63
56,Satin Doll,satin doll,satin doll,Joe Sample,32107f71-7454-4d67-a464-51b311298e30
57,Stompin at the Savoy,stompin at the savoy,stompin at the savoy,Ahmad Jamal,d39b91f2-80ac-441f-b1ab-f47f9f0c34fa
58,Emily,emily,emily,Bill Evans,baa330b7-e488-4275-9095-2e1429c00b92
59,Momentum,momentum,momentum,Lennie Tristano,f8579282-6307-4f7e-9d80-497ccab5f174
60,Blue Chopsticks,blue chopsticks,blue chopsticks,Herbie Nichols,c6359fca-e32c-4ecf-ba1f-152d2b075fbf
61,Beats Up,beats up,beats up,Tommy Flanagan,9433aca7-93bc-4ea3-886a-bd2c9c21f124
62,Hip Toe,hip toe,hip toe,McCoy Tyner,d6465c77-273c-4c3b-bf35-6d75da90a1bb
63,Beautiful Love take 1,beautiful love,beautiful love,Bill Evans,fab8e8ee-6599-4092-8c35-26a4642267c7
64,Butch  Butch,butch butch,butch butch,Keith Jarrett,f7a18180-5c9d-4acd-876b-7a4618efedc5
65,Caravan,caravan,caravan,Tommy Flanagan,98522a11-ed1e-4c79-b44f-de82806a7cfe
66,Summertime,summertime,summertime,Kenny Drew,acf3f942-d373-4aec-9789-31d6afbd9beb
67,I Love You,i love you,i love you,Bill Evans,1784be16-edda-4bee-b9f1-415df4b04d8f
68,Santa Claus Is Coming to Town,santa claus is coming to town,santa claus is coming to town,Bobby Timmons,8bb49e78-8d04-4bb6-88ca-5ebb404caa01
69,Short Comings,short comings,short comings,Cedar Walton,fe016ba6-ca15-4f4b-9ebf-350f6cf2325d
70,Walking Death,walking death,walking death,Bobby Timmons,043dd727-a7bb-4ec0-a2eb-e0fd84076c5d
71,My Heart Stood Still,my heart stood still,my heart stood still,Paul Smith,d3d8fdc4-91a5-4b94-8c25-b2a2c592b942
72,Twelve Tone Tune,twelve tone tune,twelve tone tune,Bill Evans,80539732-1c47-49d2-a14e-64e673d0668a
73,It Gets Better Everytime,it gets better everytime,it gets better everytime,John Hicks,43d821cd-d4d5-4f23-a019-b81c561a9195
74,Turn Out the Stars,turn out the stars,turn out the stars,Bill Evans,f631ae2a-06e4-4309-bf65-df51c7272ea1
75,The Sitin,the sitin,the sitin,Bobby Timmons,da8b5d12-3265-4fd8-8201-7c921ce685c5
76,On Green Dolphin Street,green dolphin street,green dolphin street,Oscar Peterson,940fa118-e00a-4b6d-bbdd-5a60fcb94553
77,East of the Sun and West of the Moon,east of the sun and west of the moon,east of the sun and west of the moon,Bud Powell,5dbd5b43-629f-4472-8e49-ebfa606186ef
78,Stella by Starlight,stella by starlight,stella by starlight,Kenny Barron,63b7639c-779c-471d-b15c-6bbb7d0c7210
79,Lady Bird,ladybird,lady bird,Junior Mance,d111c9ec-22a5-4e97-8fa3-779f2197560f
80,The Theme,i got rhythm,i got rhythm,Paul Bley,89d52253-33c8-478d-b1a4-195484a6b364
81,My Romance,my romance,my romance,Bill Evans,0ac208d7-6586-4c16-93ca-5e23725bc359
82,Moanin,moanin,moanin,Oscar Peterson,0f5ae211-d04c-4d23-8868-e9b04cd34390
83,Bremonds Blues,bremonds blues,bremonds blues,Cedar Walton,6e75f0ec-0d30-492e-a458-a9d5180037fe
84,The Balanced Scales  The Cupbearers,the balanced scales,the balanced scales the cupbearers,Tommy Flanagan,6eb3a13e-92b3-4833-93c9-bf9f511cc175
85,Pot Luck,pot luck,pot luck,Wynton Kelly,738b8163-9e37-4603-b795-a3812059fb43
86,Life Between the Exit Signs,life between the exit signs,life between the exit signs,Keith Jarrett,cfe7ec36-30af-4f3d-9fc0-37aa17055bed
87,Home Again,home again,home again,Oscar Peterson,daeab74d-4063-4de7-b5fa-8b7648ddc369
88,All of You take 1,all of you,all of you,Bill Evans,d5c8548b-aed5-4a7a-8c72-d1033f884f1b
89,Nardis,nardis,nardis,Bill Evans,d96b0901-e29c-41cd-9ea0-d2a3d7c58e76
90,Suntory Blues,suntory blues,suntory blues,Cedar Walton,c4b26116-e9b0-435f-8efd-89501fc114f3
91,California Here I Come,california here i come,california here i come,Bill Evans,fc6dbef4-7b91-49ee-b003-acca01d833ff
92,Im All Smiles,im all smiles,im all smiles,Hampton Hawes,2b622fa9-6ccc-455a-aecb-beaea2d8cd0c
93,Kids Know,kids know,kids know,John Hicks,19c79eea-a0dc-454a-aac6-a8eeaff9aca5
94,The Duke,duke,duke,Teddy Wilson,c030ff4d-d662-4f16-8502-cf5f5f24b66f
95,Falling In Love With Love,falling in love with love,falling in love with love,Junior Mance,d6eca5e5-2e2d-432c-b268-9bf6931ab6f2
96,Zec,zec,zec,Tommy Flanagan,201e6e60-85b5-4b91-96ba-344d89e75187
97,Stella by Starlight,stella by starlight,stella by starlight,Oscar Peterson,990184dc-d4a0-4102-bbdf-367d61601115
98,Glorias Step,glorias step,glorias step,Bill Evans,b519428f-34ba-4bbc-a08b-62bf47af5f9c
99,Autumn Leaves,autumn leaves,autumn leaves,Wynton Kelly,1eaac3af-18b4-4495-a33d-10c6c2948fa4
100,For Coltrane,for coltrane,for coltrane,Abdullah Ibrahim,513932e6-1469-4fa4-93df-e29baba9589c
