,idx
Abdullah Ibrahim,0
Ahmad Jamal,1
Bill Evans,2
Brad Mehldau,3
Cedar Walton,4
Chick Corea,5
Gene Harris,6
Geri Allen,7
Hank Jones,8
John Hicks,9
Junior Mance,10
Keith Jarrett,11
Kenny Barron,12
Kenny Drew,13
McCoy Tyner,14
Oscar Peterson,15
Stanley Cowell,16
Teddy Wilson,17
Thelonious Monk,18
Tommy Flanagan,19
